Country,Year,sanitation
"Korea, Dem. People‰Ûªs Rep.",2013,81.9
"Korea, Rep.",2013,100
Kuwait,2013,100
Kyrgyz Republic,2013,93.1
Lao PDR,2013,67.6
Latvia,2013,86.9
Lebanon,2013,80.7
Lesotho,2013,29.8
Liberia,2013,16.4
Libya,2013,96.6
Lithuania,2013,91.6
Luxembourg,2013,97.6
"Macedonia, FYR",2013,90.9
Madagascar,2013,11.7
Malawi,2013,40.1
Malaysia,2013,96
Maldives,2013,98
Mali,2013,23.8
Malta,2013,100
Marshall Islands,2013,76.7
Mauritania,2013,39.5
Mauritius,2013,93.2
Mexico,2013,84.4
"Micronesia, Fed. Sts.",2013,57
Moldova,2013,76.1
Monaco,2013,100
Mongolia,2013,58.5
Montenegro,2013,95.1
Morocco,2013,76.5
Mozambique,2013,20.3
Myanmar,2013,79.5
Namibia,2013,33.6
Nauru,2013,65.6
Nepal,2013,42.6
Netherlands,2013,97.8
New Caledonia,2013,100
Nicaragua,2013,67.8
Niger,2013,10.5
Nigeria,2013,29.6
Northern Mariana Islands,2013,79.7
Norway,2013,98.1
Oman,2013,96.7
Pakistan,2013,60
Palau,2013,100
Panama,2013,73.9
Papua New Guinea,2013,18.9
Paraguay,2013,86.8
Peru,2013,74.6
Philippines,2013,72.5
Poland,2013,96.5
Portugal,2013,99.6
Puerto Rico,2013,99.3
Qatar,2013,98
Romania,2013,78.6
Russian Federation,2013,72.2
Rwanda,2013,60
Samoa,2013,91.5
Sao Tome and Principe,2013,34.5
Saudi Arabia,2013,100
Senegal,2013,46.6
Serbia,2013,96.5
Seychelles,2013,98.4
Sierra Leone,2013,13
Singapore,2013,100
Slovak Republic,2013,98.8
Slovenia,2013,99.1
Solomon Islands,2013,29.2
South Africa,2013,65.3
South Sudan,2013,6.7
Spain,2013,99.9
Sri Lanka,2013,94.8
St. Lucia,2013,90
Sudan,2013,23.6
Suriname,2013,79.2
Swaziland,2013,57.5
Sweden,2013,99.3
Switzerland,2013,99.9
Syrian Arab Republic,2013,95.7
Tajikistan,2013,94.7
Tanzania,2013,14.5
Thailand,2013,93.1
Timor-Leste,2013,40.1
Togo,2013,11.6
Tonga,2013,91.1
Trinidad and Tobago,2013,91.5
Tunisia,2013,90.9
Turkey,2013,94.1
Tuvalu,2013,83.3
Uganda,2013,18.8
Ukraine,2013,95.8
United Arab Emirates,2013,97.5
United Kingdom,2013,99.2
United States,2013,100
Uruguay,2013,96.1
Uzbekistan,2013,100
Vanuatu,2013,57.9
"Venezuela, RB",2013,94.4
Vietnam,2013,74.7
Virgin Islands (U.S.),2013,96.4
West Bank and Gaza,2013,92.3
Zambia,2013,43.5
Zimbabwe,2013,37.2
